Column,Description,Data_Type,Unit,Allowed_Values,Example,Required,Source
Record_ID,Unique multimodal record identifier,String,None,System generated,REC000001,Yes,System Generated
Image_ID,Unique image asset identifier,String,None,System generated,IMG000001,Yes,System Generated
Image_Path,Relative path to linked image,String,Path,images/<class>/<id>.jpg,images/rice_straw/IMG000001.jpg,Yes,System Generated
State,State of origin or aggregated location,String,None,Andhra Pradesh,Andhra Pradesh,Yes,Collector/Source
District,District of origin,String,None,Verified AP district or Unknown,Guntur,Yes,Collector/Source
Mandal,Mandal; use Unknown when unavailable,String,None,Verified mandal or Unknown,Tenali,No,Survey
Village,Village; use privacy-safe aggregation when needed,String,None,Verified village or Unknown,Unknown,No,Survey
Crop,Crop associated with residue,String,None,Controlled crop list,Rice,Yes,Farmer/Expert
Crop_Category,Broad crop classification,String,None,Cereals|Pulses|Oilseeds|Fibre Crops|Spices|Horticulture|Plantation|Cash Crops,Cereals,Yes,Controlled Vocabulary
Waste_Type,Canonical residue class,String,None,Registered waste classes,Rice Straw,Yes,Annotation/Expert
Waste_Category,Functional residue category,String,None,Crop Residue|Processing Residue|Crop/Market Residue|Unknown,Crop Residue,Yes,Controlled Vocabulary
Waste_Source,Stage/location where residue originated,String,None,Field|Farmyard|Mill|Mandi|Storage|Unknown,Field,Yes,Collector
Harvest_Season,Agricultural season,String,None,Kharif|Rabi|Zaid|Perennial|Unknown,Kharif,No,Survey
Harvest_Month,Harvest month,String,None,January-December|Unknown,November,No,Survey
Farm_Size_Acres,Reported farm size,Float,acres,Greater than 0,4.5,No,Survey
Waste_Quantity_Kg,Available residue quantity,Float,kg,Greater than 0,1500,Yes,Survey/Weighment
Moisture_Percent,Moisture content,Float,%,0-100,18,No,Sensor/Lab/Estimate
Dry_Matter_Percent,Dry matter fraction,Float,%,0-100,82,No,Derived when moisture known
Collection_Distance_Km,Distance to collection hub,Float,km,0 or greater,12,No,GIS/Logistics
Storage_Days,Post-harvest storage duration,Integer,days,0 or greater,7,No,Survey
Cellulose_Percent,Cellulose fraction,Float,% dry basis,0-100,36.5,No,Verified reference or Unknown
Hemicellulose_Percent,Hemicellulose fraction,Float,% dry basis,0-100,24,No,Verified reference or Unknown
Lignin_Percent,Lignin fraction,Float,% dry basis,0-100,14.5,No,Verified reference or Unknown
Sugar_Content_Percent,Soluble/fermentable sugar fraction as defined by source,Float,%,0-100,3.5,No,Verified reference or Unknown
Ash_Percent,Inorganic ash fraction,Float,%,0-100,13,No,Verified reference or Unknown
Collection_Cost_Per_Kg,Collection cost estimate,Float,currency/kg,0 or greater,1.5,No,Verified estimate
Transport_Cost_Per_Kg,Transport cost estimate,Float,currency/kg,0 or greater,2,No,Verified estimate
Processing_Cost_Per_Kg,Processing cost estimate,Float,currency/kg,0 or greater,3,No,Verified estimate
Current_Disposal_Method,Current disposal/use,String,None,Burning|Composting|Animal Feed|Mulching|Dumping|Selling|Industrial Use|Other,Burning,Yes,Survey
Burning_Risk,Open-burning risk,String,None,Low|Medium|High,High,Yes,Rule Engine
Burning_Frequency,Reported/observed burning frequency,String,None,Never|Rare|Sometimes|Often|Unknown,Often,No,Survey
Environmental_Risk_Level,Overall environmental risk,String,None,Low|Medium|High|Critical,High,Yes,Rule Engine
Ethanol_Suitability,Prototype suitability for ethanol,String,None,Low|Medium|High|Very High,High,Yes,Decision Engine
Ethanol_Potential,Qualitative potential; not measured yield,String,None,Low|Medium|High|Very High,High,Yes,Decision Engine
Biogas_Suitability,Prototype suitability for biogas,String,None,Low|Medium|High|Very High,Medium,Yes,Decision Engine
Biogas_Potential,Qualitative potential; not measured yield,String,None,Low|Medium|High|Very High,Medium,Yes,Decision Engine
Briquette_Suitability,Prototype densification suitability,String,None,Low|Medium|High|Very High,High,Yes,Decision Engine
Briquette_Potential,Qualitative potential,String,None,Low|Medium|High|Very High,High,Yes,Decision Engine
Compost_Suitability,Prototype compost suitability,String,None,Low|Medium|High|Very High,Medium,Yes,Decision Engine
Compost_Potential,Qualitative potential,String,None,Low|Medium|High|Very High,Medium,Yes,Decision Engine
Vermicompost_Suitability,Prototype vermicompost suitability,String,None,Low|Medium|High|Very High,Medium,Yes,Decision Engine
Vermicompost_Potential,Qualitative potential,String,None,Low|Medium|High|Very High,Medium,Yes,Decision Engine
Mushroom_Suitability,Prototype mushroom-substrate suitability,String,None,Low|Medium|High|Very High,Medium,Yes,Decision Engine
Mushroom_Potential,Qualitative potential,String,None,Low|Medium|High|Very High,Medium,Yes,Decision Engine
Recommended_Pathway,Primary recommendation,String,None,Registered pathway,Ethanol (2G),Yes,Decision Engine
Alternative_Pathway,Secondary recommendation,String,None,Registered pathway,Briquettes/Pellets,Yes,Decision Engine
Recommendation_Reason,Transparent rationale,String,None,Free text,Suitable dry fibrous feedstock; verify process economics.,Yes,Decision Engine
Farmer_Action,Farmer-facing action,String,None,Free text,Dry and aggregate residue safely; avoid open burning.,Yes,Advisory Engine
Government_Action,Aggregated government/extension signal,String,None,Free text,Flag high-residue area for collection support.,Yes,Advisory Engine
Farmer_Selected_Crop,Crop selected by farmer,String,None,Controlled crop list or Unknown,Rice,No,Farmer Response
Farmer_Waste_Name,Farmer-provided residue name,String,None,Free text,Rice straw,No,Farmer Response
Farmer_Estimated_Quantity,Farmer quantity estimate,String,None,Free text,500 kg,No,Farmer Response
Farmer_Moisture_Description,Farmer qualitative moisture response,String,None,Dry|Fresh|Moist/Wet|Partially Rotten|Unknown,Dry,No,Farmer Response
Farmer_Storage_Duration,Farmer qualitative storage response,String,None,0-3 days|1-2 weeks|1 month+|6 months+|Unknown,1-2 weeks,No,Farmer Response
Farmer_Current_Disposal,Farmer-described disposal practice,String,None,Controlled disposal list or Unknown,Burning,No,Farmer Response
Farmer_Location,Privacy-safe location confirmation,String,None,District/Mandal or consented GPS,District Guntur,No,Farmer Response
Farmer_Confidence,Farmer self-assessed response confidence,String,None,High|Medium|Low,High,No,Farmer Response
Image_Source,Origin of image,String,None,Farmer Smartphone Upload|Extension Officer|Research Repository|Public Dataset|Synthetic Generator,Farmer Smartphone Upload,Yes,Image Metadata
Data_Source_Type,Provenance category,String,None,Government|Research Paper|Farmer Survey|Field Measurement|Industry|Public Dataset|Synthetic/Demo,Synthetic/Demo,Yes,Data Governance
Capture_Type,Photography context,String,None,Field|Farmyard|Mill|Mandi|Lab|Field Simulation,Field,No,Image Metadata
Lighting,Ambient lighting,String,None,Bright Sunlight|Cloudy/Overcast|Indoor/Shed|Evening/Low Light|Flash,Cloudy/Overcast,No,Image Metadata
Background,Background context,String,None,Field|Farmyard|Concrete|Tarpaulin|Sack|Foliage|Shed|Unknown,Soil/Field,No,Image Metadata
View_Angle,Camera perspective/distance,String,None,Close-up|Medium|Pile/Bulk|Side View,Medium,No,Image Metadata
Image_Condition,Physical state shown,String,None,Fresh|Dry|Partially Decomposed|Dirty/Mixed|Cut/Chopped|Unknown,Dry,No,Image Metadata
Image_Quality,Image quality class,String,None,Excellent|Good|Acceptable|Poor|Unusable,Good,Yes,Image Assessment
Is_Mixed_Waste,Whether mixed waste is visible,String,None,Yes|No|Unknown,No,Yes,Annotation
Primary_Object,Main visible object,String,None,Registered class or Unknown,Rice Straw,Yes,Annotation
Label,Machine-learning folder token,String,None,Registered folder name,rice_straw,Yes,Annotation
Group_ID,Group for physical pile/session; prevents leakage,String,None,GRP_0001 etc,GRP_0001,Yes,Data Governance
SHA256_Hash,File checksum for exact-duplicate detection,String,64 hex chars,64 hexadecimal characters,sha256,Yes,System Generated
Annotation_Status,Annotation verification state,String,None,Unannotated|Template_Annotated|Expert_Verified,Expert_Verified,Yes,Annotation Pipeline
Verified_By,Verifier identity or system,String,None,Named verifier or system,Domain Expert,No,Data Governance
Data_Confidence,Overall provenance/quality confidence,String,None,High|Medium|Low,Medium,Yes,Data Governance
