Pathway_ID,Pathway_Name,Description,Key_Feedstock_Requirements,Environmental_Benefit
1,Ethanol (2G),Second-generation lignocellulosic bioethanol using pretreatment hydrolysis and fermentation. Suitability must be verified for each feedstock.,Suitable carbohydrate fractions; pretreatment and process economics must be verified.,Potentially displaces fossil transport fuel and avoids open burning when residue is collected responsibly.
2,Ethanol (1G/1.5G),Sugar or starch-rich feedstock fermentation where appropriate.,Verified fermentable sugars/starch and process feasibility.,Can convert suitable organic feedstocks into transport fuel.
3,Biogas (CBG),Anaerobic digestion producing biogas/biomethane and digestate.,High-moisture biodegradable biomass with suitable digestion characteristics.,Can replace fossil gas and recycle nutrients through digestate.
4,Briquettes/Pellets,Mechanical densification of suitable dry biomass.,Suitable moisture ash and end-use characteristics.,Can provide a solid biomass fuel alternative where permitted and technically suitable.
5,Compost,Aerobic biological decomposition into stabilized organic material.,Suitable uncontaminated biodegradable residues with appropriate moisture and aeration.,Returns organic matter and nutrients to soil.
6,Vermicompost,Earthworm-assisted decomposition of suitable plant residues.,Non-toxic suitable residues and controlled moisture conditions.,Produces a soil amendment and supports circular nutrient use.
7,Mushroom Cultivation,Controlled cultivation using suitable agricultural substrates.,Clean compatible straw/cobs/plant residues with species-specific suitability.,Adds value to residues; spent substrate can be composted.
8,Animal Feed,Use of safe suitable crop residues as livestock feed or fodder.,Verified nutritional value, safety, palatability and absence of harmful contamination.,Can reduce waste and support local livestock systems.
9,Industrial Biomass Use,Material or thermal conversion of suitable residues.,Verified physical and market requirements plus applicable safety/emission controls.,Creates additional circular-economy uses for difficult residues.
10,Additional Assessment Required,Low-confidence or ambiguous sample requiring clarification or verification.,Better photograph, farmer questions or laboratory/field verification.,Prevents unsafe or uneconomic recommendations.
