Class_ID,Folder_Name,Waste_Type,Crop,Crop_Category,Waste_Category,Cellulose_Percent,Hemicellulose_Percent,Lignin_Percent,Sugar_Content_Percent,Ash_Percent,Moisture_Percent_Typical,Ethanol_Suitability,Ethanol_Potential,Biogas_Suitability,Biogas_Potential,Briquette_Suitability,Briquette_Potential,Compost_Suitability,Compost_Potential,Vermicompost_Suitability,Vermicompost_Potential,Mushroom_Suitability,Mushroom_Potential,Recommended_Pathway,Alternative_Pathway,Recommendation_Reason,Data_Source_Type,Data_Confidence
1,rice_straw,Rice Straw,Rice,Cereals,Crop Residue (Straw),36.5,24.0,14.5,3.5,13.0,14.0,High,High,Medium,Medium,High,High,Medium,Medium,Medium,Medium,Very High,Very High,Ethanol,Mushroom Cultivation,High holocellulose (cellulose + hemicellulose ~60.5%) makes it ideal for 2G bioethanol after alkaline/steam pretreatment; high silica ash limits direct burning.,Research Literature Standard,High
2,rice_husk,Rice Husk,Rice,Cereals,Agro-industrial Residue (Husk),34.0,21.0,19.5,1.0,18.5,9.5,Medium,Medium,Low,Low,Very High,Very High,Low,Low,Low,Low,Low,Low,Briquettes/Pellets,Ethanol,High lignin (19.5%) and high abrasive silica content make it superior for densified solid biofuel briquetting; moderate ethanol potential.,Research Literature Standard,High
3,rice_bran,Rice Bran,Rice,Cereals,Agro-industrial Residue (Milling),12.0,18.0,8.0,6.0,9.0,11.0,Low,Low,Medium,Medium,Low,Low,Medium,Medium,Medium,Medium,Low,Low,Animal Feed,Biogas,"High lipid, protein, and nutrient density prioritize oil extraction and livestock feed over direct biofuel conversion.",Research Literature Standard,High
4,maize_stalk,Maize Stalk,Maize,Cereals,Crop Residue (Stalk),41.0,27.5,17.0,4.0,5.5,18.0,Very High,Very High,High,High,High,High,Medium,Medium,Medium,Medium,Medium,Medium,Ethanol,Biogas,Very high combined glucan/xylan sugars (~68.5%) and moderate lignin allow efficient enzymatic saccharification and high 2G ethanol yields.,Research Literature Standard,High
5,maize_cob,Maize Cob,Maize,Cereals,Crop Residue (Cob),38.5,34.0,15.0,2.5,2.5,12.0,Very High,Very High,Medium,Medium,High,High,Medium,Medium,Medium,Medium,High,High,Ethanol,Briquettes/Pellets,"Extremely rich in hemicellulose (xylan 34%) and low ash (2.5%), making it an elite feedstock for xylose/glucose co-fermentation into bioethanol.",Research Literature Standard,High
6,sugarcane_bagasse,Sugarcane Bagasse,Sugarcane,Cash Crops,Agro-industrial Residue (Bagasse),43.0,25.0,20.0,2.0,3.5,48.0,Very High,Very High,Medium,Medium,High,High,Low,Low,Low,Low,Medium,Medium,Ethanol,Briquettes/Pellets,High cellulose (43%) with existing sugar mill co-location makes 2G cellulosic ethanol commercially attractive with low transport overhead.,Research Literature Standard,High
7,sugarcane_trash,Sugarcane Trash,Sugarcane,Cash Crops,Field Residue (Trash/Leaves),37.0,26.0,21.0,3.0,7.0,15.0,High,High,Medium,Medium,High,High,Medium,Medium,Medium,Medium,Medium,Medium,Ethanol,Briquettes/Pellets,Abundant field biomass frequently subjected to open burning; 37% cellulose provides viable 2G bioethanol pathway while curbing field emissions.,Research Literature Standard,High
8,cotton_stalk,Cotton Stalk,Cotton,Fibre Crops,Field Residue (Woody Stalk),39.5,19.5,24.5,1.5,4.5,13.0,High,High,Low,Low,Very High,Very High,Low,Low,Low,Low,Medium,Medium,Briquettes/Pellets,Ethanol,High woody density and lignin (24.5%) make it exceptional for high-calorific briquette/pellet manufacturing; suitable for 2G ethanol post-delignification.,Research Literature Standard,High
9,cotton_waste,Cotton Waste,Cotton,Fibre Crops,Ginning/Processing Waste,78.0,8.0,4.0,0.5,2.0,8.0,Very High,Very High,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,High,High,Ethanol,Mushroom Cultivation,"Purest cellulosic agricultural stream (~78% cellulose) with minimal lignin (4%), requiring mildest hydrolysis for maximal ethanol conversion yield.",Research Literature Standard,High
10,chilli_stem,Chilli Stem,Chilli,Spices & Condiments,Field Residue (Stem),32.0,20.0,22.0,2.0,6.5,16.0,Medium,Medium,Medium,Medium,High,High,Medium,Medium,Medium,Medium,Low,Low,Briquettes/Pellets,Compost,Heavy concentration in Guntur/Palnadu chili belt; high lignin and moderate holocellulose make densified fuel pellets or thermal gasification most viable.,Research Literature Standard,High
11,groundnut_shell,Groundnut Shell,Groundnut,Oilseeds,Agro-industrial Residue (Shell),36.0,17.5,29.0,1.0,4.0,9.0,Medium,Medium,Low,Low,Very High,Very High,Low,Low,Low,Low,Low,Low,Briquettes/Pellets,Ethanol,High lignin content (29%) yields exceptional calorific briquette fuel with low moisture uptake; 36% cellulose available for specialized ethanol processes.,Research Literature Standard,High
12,groundnut_haulm,Groundnut Haulm,Groundnut,Oilseeds,Field Residue (Haulm/Vines),28.0,21.0,13.0,4.5,8.5,15.0,Low,Low,High,High,Medium,Medium,High,High,High,High,Medium,Medium,Animal Feed,Biogas,Leguminous residue rich in crude protein (8-11%) and palatability; predominantly utilized as nutrient-dense cattle fodder across Rayalaseema districts.,Research Literature Standard,High
13,banana_pseudostem,Banana Pseudostem,Banana,Horticulture (Fruits),Field Biomass (Stem/Trunk),35.0,22.0,11.0,8.5,12.0,88.0,High,High,Very High,Very High,Low,Low,High,High,Very High,Very High,Medium,Medium,Biogas,Ethanol,Extremely high green moisture (88%) makes it an instant anaerobic digestion substrate for Biogas / CBG; extracted sap sugars and fibers support ethanol upon dewatering.,Research Literature Standard,High
